Date;High;Low;Close;Average;Total;Turnover;Trades
1996-10-17;420,970;420,970;420,970;;;;0
1996-10-16;419,510;419,510;419,510;;;;0
1996-10-15;422,620;422,620;422,620;;;;0
1996-10-14;418,280;418,280;418,280;;;;0
1996-10-11;417,120;417,120;417,120;;;;0
1996-10-10;418,300;418,300;418,300;;;;0
1996-10-09;417,160;417,160;417,160;;;;0
1996-10-08;421,070;421,070;421,070;;;;0
1996-10-07;416,780;416,780;416,780;;;;0
1996-10-04;414,390;414,390;414,390;;;;0
1996-10-03;409,880;409,880;409,880;;;;0
1996-10-02;408,200;408,200;408,200;;;;0
1996-10-01;410,080;410,080;410,080;;;;0
1996-09-30;404,580;404,580;404,580;;;;0
1996-09-27;403,950;403,950;403,950;;;;0
1996-09-26;402,660;402,660;402,660;;;;0
1996-09-25;399,040;399,040;399,040;;;;0
1996-09-24;399,340;399,340;399,340;;;;0
1996-09-23;393,960;393,960;393,960;;;;0
1996-09-20;398,970;398,970;398,970;;;;0
1996-09-19;396,810;396,810;396,810;;;;0
1996-09-18;397,070;397,070;397,070;;;;0
1996-09-17;399,840;399,840;399,840;;;;0
1996-09-16;402,660;402,660;402,660;;;;0
1996-09-13;403,310;403,310;403,310;;;;0
1996-09-12;397,410;397,410;397,410;;;;0
