"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 16, 2008","5,290.61","5,395.28","5,396.04","5,288.77","8.93B","-2.81%"
"Jan 17, 2008","5,151.63","5,235.91","5,312.29","5,039.79","9.89B","-2.63%"
"Jan 18, 2008","5,180.51","5,141.37","5,187.60","5,093.13","6.86B","0.56%"
"Jan 21, 2008","4,914.44","5,188.80","5,200.93","4,891.28","7.56B","-5.14%"
"Jan 22, 2008","4,559.75","4,818.00","4,818.00","4,511.95","9.25B","-7.22%"
"Jan 23, 2008","4,703.05","4,572.90","4,705.07","4,510.50","8.80B","3.14%"
"Jan 24, 2008","4,717.73","4,753.44","4,767.80","4,625.46","9.00B","0.31%"
"Jan 25, 2008","4,761.69","4,716.98","4,806.89","4,657.71","7.79B","0.93%"
"Jan 28, 2008","4,419.29","4,720.56","4,720.56","4,409.08","6.94B","-7.19%"
"Jan 29, 2008","4,457.94","4,426.27","4,517.60","4,389.52","5.04B","0.87%"
"Jan 30, 2008","4,417.85","4,505.64","4,554.34","4,330.70","5.51B","-0.90%"
"Jan 31, 2008","4,383.39","4,408.02","4,487.32","4,368.30","4.51B","-0.78%"
"Feb 01, 2008","4,320.77","4,388.25","4,411.70","4,195.75","5.93B","-1.43%"
"Feb 04, 2008","4,672.17","4,415.02","4,672.21","4,415.02","6.34B","8.13%"
"Feb 05, 2008","4,599.70","4,622.54","4,662.97","4,550.43","5.26B","-1.55%"
"Feb 13, 2008","4,490.72","4,525.03","4,547.54","4,454.64","3.69B","-2.37%"
"Feb 14, 2008","4,552.32","4,527.05","4,576.98","4,507.94","3.49B","1.37%"
"Feb 15, 2008","4,497.13","4,523.79","4,523.79","4,431.46","4.14B","-1.21%"
"Feb 18, 2008","4,568.15","4,546.75","4,601.22","4,517.60","5.58B","1.58%"
"Feb 19, 2008","4,664.30","4,582.28","4,665.55","4,544.94","6.07B","2.10%"
"Feb 20, 2008","4,567.03","4,682.59","4,695.80","4,556.81","6.65B","-2.09%"
"Feb 21, 2008","4,527.18","4,534.17","4,568.21","4,452.68","6.13B","-0.87%"
"Feb 22, 2008","4,370.28","4,500.39","4,500.39","4,333.03","6.76B","-3.47%"
"Feb 25, 2008","4,192.53","4,370.19","4,391.33","4,182.77","5.88B","-4.07%"
"Feb 26, 2008","4,238.18","4,302.73","4,331.64","4,123.31","5.57B","1.09%"
